SerialID,ReadingDate,ReadingTime,FootfallCount,ZoneID,Description
0004A30B00EC80A5_countA,06/01/2024,08:38:39,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,08:48:39,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,10:33:39,3,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,10:38:39,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,10:43:39,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,10:48:39,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,10:58:39,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,11:03:39,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,11:08:39,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,11:13:39,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,11:23:39,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,11:38:39,4,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,11:43:39,3,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,11:48:39,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,11:53:39,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,12:03:39,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,12:18:39,3,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,12:23:39,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,12:28:39,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,12:38:39,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,12:43:39,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,12:48:39,3,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,13:08:39,3,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,13:13:39,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,13:33:39,3,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,13:38:39,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,13:48:39,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,13:53:39,3,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,14:08:39,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,14:13:39,4,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,14:23:39,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,14:28:39,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,06/01/2024,14:33:39,3,7,Churchill Exhibition
