Time,zone_id,no_of_ppl,zone_name
15:18:00,2,62,Retail Shop
15:23:00,2,59,Retail Shop
15:28:00,2,68,Retail Shop
15:33:00,2,61,Retail Shop
15:39:00,2,63,Retail Shop
15:44:00,2,59,Retail Shop
15:49:00,2,59,Retail Shop
15:54:00,2,60,Retail Shop
16:00:00,2,54,Retail Shop
16:05:00,2,54,Retail Shop
16:10:00,2,52,Retail Shop
16:15:00,2,50,Retail Shop
16:21:00,2,46,Retail Shop
16:26:00,2,51,Retail Shop
16:31:00,2,46,Retail Shop
16:36:00,2,33,Retail Shop
16:42:00,2,31,Retail Shop
16:47:00,2,27,Retail Shop
16:52:00,2,16,Retail Shop
16:57:00,2,14,Retail Shop
17:03:00,2,12,Retail Shop
17:08:00,2,11,Retail Shop
17:13:00,2,11,Retail Shop
17:18:00,2,6,Retail Shop
17:24:00,2,5,Retail Shop
17:29:00,2,5,Retail Shop
17:34:00,2,5,Retail Shop
17:40:00,2,5,Retail Shop
17:45:00,2,5,Retail Shop
17:50:00,2,5,Retail Shop
17:55:00,2,5,Retail Shop
09:00:00,3,0,East Courtyard
09:05:00,3,1,East Courtyard
09:11:00,3,1,East Courtyard
09:16:00,3,1,East Courtyard
09:21:00,3,2,East Courtyard
09:26:00,3,1,East Courtyard
09:32:00,3,2,East Courtyard
09:37:00,3,2,East Courtyard
09:42:00,3,4,East Courtyard
09:47:00,3,3,East Courtyard
09:52:00,3,4,East Courtyard
09:58:00,3,6,East Courtyard
10:03:00,3,9,East Courtyard
10:08:00,3,11,East Courtyard
10:13:00,3,10,East Courtyard
10:19:00,3,10,East Courtyard
10:24:00,3,12,East Courtyard
10:29:00,3,10,East Courtyard
10:34:00,3,12,East Courtyard
10:40:00,3,15,East Courtyard
10:45:00,3,19,East Courtyard
10:50:00,3,20,East Courtyard
10:55:00,3,20,East Courtyard
11:00:00,3,17,East Courtyard
11:06:00,3,17,East Courtyard
11:11:00,3,21,East Courtyard
11:16:00,3,29,East Courtyard
11:21:00,3,30,East Courtyard
11:27:00,3,25,East Courtyard
11:32:00,3,23,East Courtyard
11:37:00,3,22,East Courtyard
11:42:00,3,20,East Courtyard
11:48:00,3,18,East Courtyard
11:53:00,3,26,East Courtyard
11:58:00,3,31,East Courtyard
12:03:00,3,34,East Courtyard
12:09:00,3,32,East Courtyard
12:14:00,3,36,East Courtyard
12:19:00,3,30,East Courtyard
12:24:00,3,28,East Courtyard
12:30:00,3,30,East Courtyard
12:35:00,3,30,East Courtyard
12:40:00,3,28,East Courtyard
12:45:00,3,27,East Courtyard
12:51:00,3,28,East Courtyard
12:56:00,3,28,East Courtyard
13:01:00,3,29,East Courtyard
13:06:00,3,34,East Courtyard
13:12:00,3,34,East Courtyard
13:17:00,3,37,East Courtyard
13:22:00,3,36,East Courtyard
13:27:00,3,37,East Courtyard
13:33:00,3,36,East Courtyard
13:38:00,3,32,East Courtyard
13:43:00,3,31,East Courtyard
13:48:00,3,33,East Courtyard
13:54:00,3,34,East Courtyard
13:59:00,3,32,East Courtyard
14:04:00,3,35,East Courtyard
14:09:00,3,35,East Courtyard
14:15:00,3,31,East Courtyard
14:20:00,3,29,East Courtyard
14:25:00,3,34,East Courtyard
14:30:00,3,36,East Courtyard
14:36:00,3,35,East Courtyard
14:41:00,3,29,East Courtyard
14:46:00,3,30,East Courtyard
14:51:00,3,29,East Courtyard
14:57:00,3,29,East Courtyard
15:02:00,3,31,East Courtyard
15:07:00,3,29,East Courtyard
15:12:00,3,28,East Courtyard
15:18:00,3,30,East Courtyard
15:23:00,3,30,East Courtyard
15:28:00,3,36,East Courtyard
15:33:00,3,37,East Courtyard
15:39:00,3,38,East Courtyard
