SerialID,ReadingDate,ReadingTime,FootfallCount,ZoneID,Description
0004A30B00EC80A5_countA,07/01/2024,08:23:38,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,08:28:38,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,08:38:38,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,08:43:38,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,10:33:38,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,10:38:38,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,11:08:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,11:13:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,11:23:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,12:03:37,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,12:33:37,3,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,12:38:37,3,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,13:03:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,13:18:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,13:33:37,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,13:53:38,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,13:58:37,3,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,14:13:37,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,14:28:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,14:33:37,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,14:38:37,2,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,14:48:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,14:58:37,1,7,Churchill Exhibition
